session_pitch,max_shoulder_external_rotation,time_max_shoulder_external_rotation,max_elbow_extension,time_max_elbow_extension,max_hip_shoulder_separation,time_max_hip_shoulder_separation
2889_1,166.1907,1.7611,25.7512,1.8,26.5489,1.6444
2889_2,167.0909,1.5833,26.07,1.625,25.9397,1.4667
2889_3,171.4975,1.5472,22.6056,1.5861,28.3979,1.4278
2889_4,163.8937,1.6167,24.9423,1.6556,25.3203,1.5
2889_5,171.381,1.5611,27.0037,1.6,26.6223,1.4361
2891_1,161.2508,1.6306,1.9304,1.3028,39.1019,1.4861
2891_2,162.1261,1.5889,3.467,1.2667,40.186,1.45
2891_3,160.8499,1.475,2.8816,1.15,40.646,1.3278
2891_4,158.0667,1.6278,1.0709,1.3056,39.0375,1.4861
2891_5,165.2621,1.4556,2.3094,1.1361,48.6724,1.3111
2905_1,169.4105,1.2806,35.5111,1.3139,36.3441,1.1472
2905_2,169.3067,1.0778,33.741,1.1111,36.4323,0.9444
2905_3,174.0463,0.9306,36.5854,0.9639,38.0,0.7972
2905_4,171.7352,1.1722,34.6571,1.2056,37.0629,1.0417
2905_5,171.2732,0.9389,35.8505,0.9722,38.1095,0.8056
2907_1,166.2838,1.1167,34.7546,1.2139,27.0873,1.0083
2907_2,167.1978,1.1167,35.4521,1.1528,29.6805,1.0111
2907_3,166.4385,1.1417,33.7848,1.2389,28.0988,1.0361
2907_4,168.8052,1.2306,35.4945,1.2639,28.8002,1.1278
2907_5,167.3831,1.1333,34.6708,1.2278,28.2344,1.025
2916_1,169.5324,0.9417,12.7622,1.0333,36.5688,0.8389
2916_2,170.326,0.9167,13.9968,1.0083,37.0706,0.8139
2916_3,171.2874,1.075,11.489,1.1667,36.6836,0.9778
2916_4,170.5148,0.9556,13.1575,1.0444,36.1736,0.875
2916_5,172.7733,1.0861,12.5815,1.175,38.9573,1.0028
2918_1,166.7136,1.2056,18.1034,1.3333,30.9464,1.0833
2918_2,167.4121,1.0861,16.1122,1.1972,30.2947,0.9694
2918_3,167.0481,1.1222,20.2968,1.2333,30.4038,1.0056
2918_4,167.0126,1.2639,19.8296,1.3833,30.217,1.1472
2918_5,167.2232,1.1583,18.7891,1.275,30.9726,1.0389
2919_1,182.5645,1.7278,15.3992,1.3972,29.4493,1.5917
2919_2,182.2818,1.6917,17.8211,1.3583,28.8214,1.5528
2919_3,184.0617,2.0639,14.9934,1.7306,29.6014,1.9306
2919_4,183.6061,1.7472,16.1723,1.4222,28.7634,1.6111
2919_5,184.1284,1.6556,16.1429,1.3194,28.0776,1.5194
2923_1,151.2197,1.2833,21.1316,1.3778,21.4589,1.2056
2923_2,152.0982,1.5556,22.8056,1.2917,22.0308,1.4639
2923_3,152.8674,1.4222,23.5026,1.5167,22.3934,1.3278
2923_4,152.6669,1.5778,21.9521,1.3139,21.4793,1.4861
2923_5,152.9557,1.4111,24.0107,1.1472,21.1643,1.325
2926_1,165.8547,1.2972,19.8444,1.0278,30.4826,1.1806
2926_2,167.3556,1.2472,17.002,0.9694,31.9176,1.1278
2926_4,167.2259,1.1306,17.6064,0.8583,33.886,1.0056
2926_5,166.1618,1.1111,20.5308,0.8444,29.5619,0.9972
2927_1,166.3264,1.2861,20.4531,1.3861,24.7333,1.1639
2927_2,168.5222,1.0833,19.3681,1.1833,25.0186,0.9639
2927_3,167.1665,1.2222,19.704,1.325,24.7944,1.1
2927_4,168.5958,1.3583,18.5727,1.4556,26.0768,1.2389
2927_5,171.0492,1.1056,20.813,1.1972,27.0761,0.9833
2935_1,163.3374,1.5361,29.6442,1.2667,32.9606,1.4278
2935_2,161.2673,1.375,27.088,1.1056,34.3235,1.2639
2935_3,165.101,1.3556,29.2674,1.0889,34.598,1.2528
2935_4,167.8901,1.5139,29.4803,1.25,33.9164,1.4056
2935_5,162.8514,1.5472,28.5825,1.275,30.8621,1.4389
2965_1,159.9559,1.5361,31.6139,1.6972,32.6733,1.4194
2965_2,163.2782,1.7333,32.5883,1.7667,35.024,1.6139
2965_3,162.6742,1.6833,30.9181,1.8389,32.5164,1.5694
2965_4,163.5377,1.475,33.9002,1.5083,32.3402,1.3583
2965_5,163.5862,1.3056,28.1376,0.9778,35.636,1.1972
2969_1,174.9804,1.85,29.1561,2.1889,30.6191,1.7417
2969_2,170.6601,1.5889,25.1555,1.6861,29.8631,1.4778
2969_3,170.7903,1.5056,28.5413,1.85,31.1496,1.3944
2979_1,171.2316,1.6056,16.6392,1.2528,39.746,1.4806
2979_2,169.8878,1.5944,21.8294,1.2556,39.3879,1.4667
2979_3,170.1582,1.6611,23.4521,1.3306,41.23,1.5333
2979_4,168.6962,1.3639,21.5389,1.0194,36.754,1.2472
2979_5,173.6607,1.3889,22.9071,1.0389,39.5657,1.2639
2981_1,169.8835,1.8361,23.5505,1.9333,33.5266,1.7028
2981_2,170.4376,1.3861,9.3056,1.4861,34.1171,1.2528
2981_3,174.0136,1.45,25.0782,1.5444,34.8421,1.3139
2981_4,171.0297,1.3139,22.0618,1.4111,36.062,1.1778
2989_1,168.6566,1.2472,25.7914,0.8944,19.3079,1.1389
2989_2,166.097,1.225,26.0396,0.85,24.9791,1.1083
